city,date,data
上海,2014/1/1,5
上海,2014/2/1,16
上海,2014/3/1,21
上海,2014/4/1,30
上海,2014/5/1,36
上海,2014/6/1,58
上海,2014/7/1,70
上海,2014/8/1,71
上海,2014/9/1,57
上海,2014/10/1,57
上海,2014/11/1,44
上海,2014/12/1,34
上海,2015/1/1,31
上海,2015/2/1,46
上海,2015/3/1,36
上海,2015/4/1,31
上海,2015/5/1,46
上海,2015/6/1,48
上海,2015/7/1,63
上海,2015/8/1,72
上海,2015/9/1,55
上海,2015/10/1,61
上海,2015/11/1,39
上海,2015/12/1,28
上海,2016/1/1,35
上海,2016/2/1,43
上海,2016/3/1,41
上海,2016/4/1,38
上海,2016/5/1,38
上海,2016/6/1,60
上海,2016/7/1,68
上海,2016/8/1,98
上海,2016/9/1,78
上海,2016/10/1,82
上海,2016/11/1,40
上海,2016/12/1,53
上海,2017/1/1,41
上海,2017/2/1,56
上海,2017/3/1,50
上海,2017/4/1,60
上海,2017/5/1,68
上海,2017/6/1,85
上海,2017/7/1,123
上海,2017/8/1,119
上海,2017/9/1,116
上海,2017/10/1,124
